0;jogador;posicao;id_jogador;id_equipe;jogador_apelido;altura
1867;Patrick Luis de Ana Vieira;AlaArmador;11387;16;Carioca;1.91
1868;Paulo Antônio da Costa Lourenço;Ala;1091;3;Paulo;1.91
1869;Paulo Heitor Boracini;AlaArmador;210;13;Paulinho;1.91
1870;Paulo Sérgio Prestes;Pivo;1226;54;Prestes;2.08
1871;Pedro Alcantara Abbade Aguiar Faria;Ala;11929;2;Pedro;1.91
1872;Pedro César Teruel Lima;AlaArmador;360;19;Pedro;1.91
1873;Pedro Henrique Cavalin de Macedo;Ala;567;16;P, Macedo;2.03
1875;Pedro Henrique Wellausen Rava;Armador;1018;87;Pedrinho;1.83
1878;Pedro Vitor Lopes Adão;Armador;11230;19;Pedrinho;1.89
1879;Rafael Carlos Stabile Silva;Ala;277;210;R, Stabile;1.95
1880;Rafael Cintra Ribeiro;Ala;11313;87;Cintra;1.95
1881;Rafael Diogo da Silva;Armador;789;222;Rafinha;1.91
1882;Rafael Domingues Marques Martins;Pivo;11746;14;Rafael;2.03
1883;Rafael Ferreira de Sousa;AlaPivo;107;2;Mineiro;1.91
1884;Rafael Freire Luz;Armador;11952;2;Rafa Luz;1.89
1885;Rafael Hettsheimeir;Pivo;11657;13;Hettsheimeir;1.91
